Fulham West,,,,,,,,,,,,,,,
4/6/38,,,,,,,,,,,,,,,
,,,,Con,Lab,LD,Green,,,Lead,,,,,
,,General election result 05,,33,45,16,3,,,-12.0,,,,,
ICM,19-21 Jun,26-Jun,Norwich University & College Union,34,30,15,14,,,4.0,,,,,
,,By-election result,,39.5,18.2,14.0,9.7,,,21.3,,,,,
,,,,,,,,,,,,,,,
Oldham East & Saddleworth,,,,,,,,,,,,,,,
1/13/11,,,,Con,Lab,LD,BNP,UKIP,,,,,,,
,,General election result 10,,26.4,31.9,31.6,5.7,3.9,,0.3,Lab/LD,,,,
Survation,28 Dec - 7 Jan,9-Jan,,6,31,30,,,,1.0,Lab/LD,23% undecided,,,
ICM,5-6 Jan,9-Jan,Mail on Sunday,18,44,27,,,,17.0,Lab/LD,,,,
,5-6 Jan,9-Jan,Lord Ashcroft,15,46,29,,,,17.0,Lab/LD,,,,
,,By-election result,,13,42,32,5,6,,10.0,Lab/LD,,,,
,,,,,,,,,,,,,,,
Barnsley,,,,Con,Lab,LD,BNP,UKIP,,,,,,,
3/3/11,,General election result 10,,17,47,17,9,5,,-30.0,,,,,
Survation,24-25 Feb,27-Feb,,13,63,6,4,9,,-50.0,,,,,
,,By-election result,,8,61,4,6,12,,-53.0,,,,,
,,,,,,,,,,,,,,,
Leicester South,,,,Con,Lab,LD,,UKIP,,,,,,,
5/5/11,,General election result 10,,21,46,27,,2,,-25.0,,,,,
Survation,,1-May,,20,61,14,,5,,-41.0,,,,,
,,By-election result,,15,58,23,,3,,-43.0,,,,,
,,,,,,,,,,,,,,,
Feltham & Heston,,,,Con,Lab,LD,BNP,UKIP,,,,,,,
12/15/11,,General election result 10,,34,44,14,4,2,,-10.0,,,,,
,1-6 Dec,8-Dec,Lord Ashcroft,30,52,10,,5,,-22.0,,,,,
Survation,7-9 Dec,11-Dec,Mail on Sunday,29,53,7,,7,,-24.0,Phone,,,,
,,By-election result,,28,54,6,,5,,-26.0,,,,,
,,,,,,,,,,,,,,,
Corby,,,,Con,Lab,LD,BNP,UKIP,,,,,,,
11/15/12,,General election result 10,,42,39,15,,,,3.0,,,,,
,8-11 Aug,16-Aug,Lord Ashcroft,37,52,7,,,,,Phone,,,,
,12-18 Oct,23-Oct,Lord Ashcroft,32,54,5,,,,,Phone,,,,
,,By-election result,,27,48,5,2,14,,,,,,,
,,,,,,,,,,,,,,,
Eastleigh,,,,Con,Lab,LD,,UKIP,,,,,,,
2/28/13,,General election result 10,,39,10,47,,4,,7.2,,,,,
,4-5 Feb,7-Feb,Lord Ashcroft,34,19,31,,13,,3.0,LD/Con,Phone,,,
Survation,6-8 Feb,10-Feb,Mail on Sunday,33,13,36,,16,,3.0,LD/Con,Phone,,,
Survation,18-22 Feb,23-Feb,Mail on Sunday,33,13,29,,21,,4.0,LD/Con,Phone,,,
Populus,19-22 Feb,23-Feb,The Times,28,11,33,,21,,5.0,LD/Con,Phone,,,
,22-24 Feb,26-Feb,Lord Ashcroft,28,12,33,,21,,5.0,LD/Con,Phone,,,
,,By-election result,,25,10,32,,28,,4.0,LD/UKIP,,,,
,,,,,,,,,,,,,,,
Wythenshawe & Sale East,,,,Con,Lab,LD,BNP,UKIP,Other,,,,,,
2/13/14,,General election result 10,,26,44,22,4,3,1,-18.0,,,,,
,3-5 Feb,6-Feb,Lord Ashcroft,14,61,5,,15,,-47.0,Phone,,,,
,,By-election result,,15,55,5,3,18,,-40.0,,,,,
,,,,,,,,,,,,,,,
Newark,,,,Con,Lab,LD,Green,UKIP,,,,,,,
6/5/14,,General election result 10,,54,22,20,,4,,32.0,,,,,
Survation,27-28 May,30-May,Sun,36,27,5,,28,,8.0,Con/UKIP,Phone,,,
